DISTRICT,DEM VOTES,REP VOTES,WINNER,TOTAL VOTES
1,107837,156128,REP,263965
2,132675,108665,DEM,241340
3,97057,213524,REP,310581
4,216332,59302,DEM,275634
5,243687,51769,DEM,295456
6,125612,206886,REP,332498
7,143063,91262,DEM,234325
8,81886,178700,REP,260586
9,81318,212820,REP,294138
10,109107,198523,REP,307630
11,1113571,190086,REP,1303657
12,107148,158047,REP,265195
13,216388,48228,DEM,264616
14,88189,170162,REP,258351
