DISTRICT,DEM VOTES,REP VOTES,WINNER,TOTAL VOTES
1,145403,233094,REP,378497
2,116452,216222,REP,332674
3,185989,142229,DEM,328218
4,143690,183936,REP,327626
5,110946,198020,REP,308966
6,241759,125167,DEM,366926
7,192809,172624,DEM,365433
8,178322,143850,DEM,322172
9,123702,238300,REP,362002
10,157602,159202,REP,316804
11,224537,141642,DEM,366179
12,196643,72888,DEM,269531
13,166650,56187,DEM,222837
